file,field,shape,dtype
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-10-17_M3_COPF2025,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-10-17_M4_proposed,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-10-17_M4_proposed,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-11-29_M1_constant,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-11-29_M1_constant,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-11-29_M2_EP2024,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-11-29_M2_EP2024,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-11-29_M3_COPF2025,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-11-29_M3_COPF2025,48,float64
data/reference/figures/revision_v12_plot_data.npz,cost_2020-11-29_M4_proposed,48,float64
data/reference/figures/revision_v12_plot_data.npz,carbon_2020-11-29_M4_proposed,48,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-04-07_M1_constant,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-04-07_M2_EP2024,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-04-07_M3_COPF2025,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-04-07_M4_proposed,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-10-17_M1_constant,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-10-17_M2_EP2024,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-10-17_M3_COPF2025,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-10-17_M4_proposed,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-11-29_M1_constant,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-11-29_M2_EP2024,216 x 24,float64
